Colors,Description,Flowers,Image,Misc items,Name,Type,Used
"Blush , Raspberry Pink  , Dark Terracotta , Sage green , Green , Dark green , chocolate , Burgundy","Blush Chiffon Drape, with Red and Burgundy, pink roses, ranunculus, spray roses, greenery drape front, back and sides florals ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693446221686x926314135891480200/image.jpg,,Wedding Mandap Decor ,Arch,0.0
"Burgundy  , Wine Red , Natural Green , Green","     Tall Arrangement with burgundy peonies, red spray roses, red roses, greenery touches, plum ranunculus",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693455840122x746586450843012700/image.jpg,,Tall Red Fusion ,Tall Arrangement,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693459918088x353251025465661760/image.jpg,,,,0.0
"White , White , Green , Pale green","Greenery and flowers with two bigger  flower pieces with itallian ruscus, white spray roses, larger roses ranunculus, butterfly ranunculus, spirea elements 
",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693460032045x511632260830803100/image.jpg,,Circular Arch With Florals ,Arch,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693532375589x825917802910986900/1511950690ca6ed486451afdc412bd0f.jpg,,,Wedding cake,0.0
"White , Ivory , Ivory , Champagne","5 Flowers mini pots with succulents, lavender, mint, scabiosa elements, mini spray roses ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693542257244x876802417286483200/image.jpg,,Flowers Pots For The Table ,Short Arrangement,0.0
"White , Ivory , Dark green , Emerald green","Greenery and Flowers Wreath with white spray roses, greenery mix of itallian ruscus  - no candles ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693544138249x475132435716703500/image.jpg,,Greenery And Flowers Wreath ,Short Arrangement,3.0
"White , White","White anemones, greenery touches. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693546833058x596643857457710000/image.jpg,,White Anemones  cake Decor ,Wedding cake,1.0
"White , White , Ivory , Champagne , Ivory","White cloud Garden Roses, Tweedia white, greenery accents, spray garden roses, ranunculus, blush tone garden rose just a touch ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693548764260x538818771349242700/image.jpg,,Purity ,Bridal Bouquet,0.0
"White , White , Ivory , Green , Natural Green , Sage green","Wild bouquet with white garden roses, ranunculus, sweet peas, baby blue tweedia, Veronica, butterfly ranunculus, white lilacs, italian ruscus, mixed greenery ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693717148178x379485812374350340/image.jpg,,Wild Bouquet ,Bridal Bouquet,6.0
,"White garden roses, white mini asters, white garden roses, white ranunculus, white spray roses, spirea elements, Blue delphinium, ranunculus, butterfly ranunculus ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693717406858x216746516377052540/image.jpg,,Flower Arrangemets,Aisle,3.0
"White , Ivory , Ivory , Champagne","Flowers and greenery candelabras with 4 arms textured candles ranunculus, garden rose, sweet peas, spirea elements, butterfly ranunculus, touches of light blue delphinium",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693717633290x815874115879410000/image.jpg,,Floral Candelabra 4 Arms ,Tall Arrangement,1.0
"White , White , Ivory , Green , Natural Green , Pale green","Floral arrangement in a vase with garden roses, ranunculus, butterfly ranunculus, greenery elements, delphinium, sweet peas in a golden vase. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693717880507x137224314639591280/image.jpg,,Floral Spring ,Short Arrangement,0.0
"White , White , Ivory , Green , Pale green","White garden roses, tweedia elements, scabiosa, greenery details, mint, veronica, spray rose",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693718666283x167577025564183970/image.jpg,,White And Touches Of Blue ,Bridesmaids Bouquet,6.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693792834988x829980407226061000/image.jpg,,,,0.0
"White , White","Longer stems, open white roses ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693792858234x312735644078364400/image.jpg,,"White Roses, Longer Stems",Bridesmaids Bouquet,3.0
"White , Ivory , Ivory","White ranunculus, white roses, white spray roses, sweet peas, garden roses, tulips, butterfly ranunculus",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693792960311x705871251758972300/image.jpg,,White Cloud ,Bridal Bouquet,5.0
,"Floor Aisle piece with ranunculus, lusianthus, roses, spray roses, delphinium and greenery touches. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693793172721x920903978191975000/image.jpg,,Floor Pieces ,Aisle,13.0
"White , White , Ivory","White roses, spray roses,  garden roses, white hydrangeas, greenery smilax, white berry elements ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693794637050x379245301395561000/image.jpg,,Half Moon Arch ,Arch,8.0
"White , Ivory , Ivory","White roses, sweet peas, spirea elements, ranunculus, berries, freesia touches with greenery, berries",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1693794878037x885010278233521200/image.jpg,,White Florals Short Vase ,Short Arrangement,3.0
"White , White",   White babies breath clouds tight to chairs. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694014681085x859079202343337600/image.jpg,,White Babies Breath Clouds ,Aisle Chairs,6.0
"White , White",Aisle candles Set of 5 tall candles are 28 inches tall ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694016993028x737601072247393400/image.jpg,,Set Of 5 Tall Candles At The Front Of The Aisle ,Aisle,4.0
"Ivory , White , White","Rust colors roses, anemones, spray roses, scabiosa touches, white roses, touches for itallian white , greenery accents. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694025907862x571422742336377600/image.jpg,,Fall Theme ,Bridal Bouquet,1.0
"Peach , Blush , Peach , Orange","Peach, orange, rust florals in fall color palette with greenery touches, spray roses, tulips, delphinium elements",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694026067481x611775524288395300/image.jpg,,2 Arch Floral Pieces,Arch,1.0
Peach,Succulent in mini terracota pot ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694044378567x818472301133807700/image.jpg,,Succulents With Teracota Pot ,Cocktail table,0.0
"White , White , beige , Sage green , Sage","Anemones, blue thistle, scabiosa, sweet peas, baby blue eucalyptus, touches of pampas elements 
",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694047037255x636839242868910700/image.jpg,,Boho Tropical Bridal Bouquet ,Bridal Bouquet,1.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694050214693x524697927745393600/image.jpg,,,,0.0
"White , White","Set Of three vases different sizes with pampas grass, blue thistle, roses, hydrangeas, ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694050592015x951396256456788900/image.jpg,,Set Of Tree Low Boho Centerpieces ,Short Arrangement,0.0
"White , White , Green , Pale green",Greenery stems with white florals ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694060218622x648699710783925400/image.jpg,,Greenery With White Flowers ,Tall Arrangement,6.0
"White , White","White roses with white spray roses with babies breath clouds can be in silver, clear or golden vase ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694063773850x209699600668686430/image.jpg,,Babies Breath With Roses Florals Centerpiece ,Short Arrangement,2.0
White,"Babies breath, with white roses clouds ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694063886495x836933525087871600/image.jpg,,Flower Clounds,Short Arrangement,17.0
"White , Ivory , Ivory , Cream , Green , Pale green","  NO COlumns provided 
2 Floral arrangements with garden roses, spray roses, greenery elements with added blue florals, hydrangeas, berries, queen lace ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694101359997x604033608217104500/image.jpg,,White Columns With Floral Vases ,Aisle,3.0
"White , White , Dusty Blue  , Green , Pale green","Baby blue hydrangeas, white roses, spray roses, greenery,  ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694103640410x813732824405935600/image.jpg,,Hydrangeas And Roses ,Short Arrangement,4.0
"White , White , Ivory","White hydrangeas, white rose,s white spray roses, touches of astilbe, and babies breath touches ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694143989600x358066782620500160/image.jpg,,White Cloud ,Short Arrangement,0.0
"White , White , Ivory","Babies breath, white roses, white dendrobium orchids, hydrangeas white no greenery arch -  Size 8,5 ft tall and 6,5 ft wide ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694144155558x109043109104765440/image.jpg,,White Roses And White Babies Breath ,Arch,3.0
"White , White",  Aisle flower arrangements next to the chair around 3 ft wide and 2 ft tall ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694144349794x397066713829245440/image.jpg,,Aisle Florals White Clouds ,Aisle,5.0
"White , White , Burgundy  , Wine Red",White tulips with red roses and touches of greenery ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694555770575x756066700023858800/image.jpg,,Red And White Bouquet ,Bridesmaids Bouquet,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694556557438x249572933332527400/image.jpg,,,,0.0
"White , White , Ivory",Flower bridge for 8 ft table with white florals with touches of blush and greenery ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694556579596x451862641466166600/image.jpg,,Flower Bridge ,Elevated,0.0
"White , White , Cream , beige , Green , Pale green , Sage",bouquets for aisle with greenery and roses,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694564461713x575396227054329340/image.jpg,,White Roses And Greenery ,Aisle Chairs,6.0
White,Aisle floral piece with white roses spray roses and babies breath ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694566373810x656955816549839200/image.jpg,,Aisle Floral Piece ,Aisle,10.0
White,"White spray roses, mini spray roses ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694569796759x318373717117467460/image.jpg,,Flower Cascade For 3 Tier Cake ,Wedding cake,4.0
"White , White",White flowers with greenery aisle garden florals ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694569971274x107152025632692540/image.jpg,,Floor Floral Piece ,Aisle,20.0
"Ivory , beige , Peach , Green , Natural Green","Flower Centerpiece With greenery and flowers with roses ranunculus, spray roses",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694579396159x729565168163103000/image.jpg,,1 Flower Piece For  the Arch ,Arch,0.0
"Purple , Fuchsia , Mauve , light mauve , Sage , Sage green , Oatmeal , Cream","Peonies, ranunculus, garden roses, silver dollar, pampas grass, ranunculus, ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694581186830x184100810867732670/image.jpg,,Mauve Boho Bouquet ,Bridal Bouquet,0.0
"White , Ivory , Blush , Blush pink , Blush","Light wood (can be white) structure with white and blush florals - touches of mauve, dusty pink, greenery elements of sage greenery, queen lace, eucalyptus. With floor pieces ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694716522002x391829900063791500/image.jpg,,Light And Airy Canopy ,Arch,0.0
,"Tall crystal candelabra with purple hydrangeas, lavender roses, blush and pink touches, greenery, comes with set of three canlr=
-'0;9",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694718673410x650534028278758800/image.jpg,,Purple Hues ,Tall Arrangement,0.0
"Fuchsia , Lavender ",set of three floating candles with submerged purple orchids ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694718907489x144734019390592830/image.jpg,,Set Of Three Floating Candles,Short Arrangement,0.0
"Mauve , Mauve ","1 Large vase with purple florals : roses, hydrangeas, stock, sweet peas, spray roses, with mini vase and set of three candles different sizes. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694719108766x217143411317802780/image.jpg,,Purple Flower Arrangements With 3 Candles ,Short Arrangement,0.0
"Mauve  , Violet","8 ft floral bridge with pink and purple roses, hydrangeas, greenery with hanging greenery elements ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694719652187x621274241191355000/image.jpg,,Floral Bridge,Table Bridges,3.0
"White , Ivory , Green",Lily of the valley boutonnière with greenery ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694725702584x554699975166497400/image.jpg,,Lily Of The Valley Boutonnière ,Boutonnieres,3.0
White,White roses with lily of the valley and touches of greenery. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694726205924x484185872351765570/image.jpg,,Bridal Bouquet With Lily Of The Valley ,Bridal Bouquet,2.0
"White , White",White florals arch with touches of greenery heavy on flowers ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694726457933x663263164000345900/image.jpg,,U Shape Arch With Florals,Arch,2.0
"White , Blush , Milk Chocolate , Wine Red",Vintage Budvase with moody florals and touch of cream flowers ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694727496754x524212001515242940/image.jpg,,Vintage Budvase ,Short Arrangement,0.0
"White , White , Pale Pink , Pink peach",5 white stephanotis flowers for the hair with pins  to attached to the hair with 5 peach spray roses,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694798136481x194553056134612260/image.jpg,,White Stephanotis Hair Flowers ,Hair Arrangement,1.0
"White , White , Ivory , Ivory , beige","white roses, blush roses, white delphinium, touches of greenery and hydrangeas",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694799168575x964226736890945100/image.jpg,,White With Blush Tones Florals ,Short Arrangement,0.0
Light Dusty blue,Baby blue candle with cylinder covering ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694801919650x785460438156357900/image.jpg,,Baby Blue Candles ,Short Arrangement,2.0
"White , Ivory , Ivory , Burgundy ","Burgundy peonies, burgundy scabiosa, blush roses, Italian ruscus, silver dollar, helebore, berries, blush spray roses",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694886381901x738332353285275900/image.jpg,,Burgundy And Greenery Bouquet ,Bridal Bouquet,2.0
"White , White , Ivory",Stage  Edge Florals for 18 ft stage. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694890091763x829415215522757400/image.jpg,,Stage Edge Florals ,Elevated,0.0
"White , White , Light Beige","White roses, babies breath with greenry and pampas grass touches 3 ft long ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694894237562x444614377836741300/image.jpg,,Boho Touches Greenery Garlands,Garland,1.0
"Blush pink , Blush , beige , Cream",White roses with touches of greenery and babies breath bridesmaids bouquets. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694894437524x655490203817261400/image.jpg,,White Roses With Touches Of Greenery And Babies Breath ,Kids Arrangement,1.0
"White , White","White roses, babies breath and phalanopsis orchids ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694901716000x704242573429422600/image.jpg,,"White Roses, Babies Breath Orchids ",Bridal Bouquet,0.0
"White , White , Ivory","White roses, white spray roses, babies breath touches, classic round style with clean lines. Satin Ribbon. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1694972469685x608635516585165300/image.jpg,,White Roses With Babies Breath ,Bridal Bouquet,0.0
"White , White , Christmas Red",White and colorful roses with touches of babies breath garlands ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695135421482x473302759785212400/image.jpg,,White Spray Roses With Red Roses Neck Garlands ,Boutonnieres,0.0
"Ivory , Pale green , Green","Peaxgh roses. peach ranunculus, blue delphinium, yellow spray roses, greenery accents, ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695135802077x535017427353422700/image.jpg,,U Shape Arch With Colorful Florals ,Arch,0.0
"White , Coral pink , Dark green , Emerald green","White anthirium, white orchids, birds of paradise, dendrobium orchids, cymbidium orchids,palm leaves, monstera leaves  ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695161526194x460764728612192960/image.jpg,,Orange With Peach Florals With Light Ivory Accents And Pink ,Bridal Bouquet,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695183680132x808391034335901300/image.jpg,,White Sheer Fabric Pews ,Aisle Chairs,0.0
"White , White , Ivory , Pale green , Green",Clear Candelabra with mini floral pieces on top ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695262410148x229486949091151520/image.jpg,,Tall Clear Candelabra With Floral Mini Pieces ,Elevated,1.0
"White , Ivory , Ivory","Compote style vase with florals and greenery with ranunculus, spray roses, garden roses, ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695343627958x151623082535091500/image.jpg,,Mini Compote Vase,Short Arrangement,6.0
"White , White , Blush pink , Blush , Blush","Colorful blooms with rabunculus, garden roses, delphinium, touches of camomile details ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695669686046x240533643772664600/image.jpg,,Colorful Sensation ,Bridal Bouquet,3.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695767391666x168223398698723600/image.jpg,,Wedding Ceremony Urn ,Aisle,0.0
"White , Coral pink , Pale green , Green",3 Bud Vases with colorful blooms ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695844376277x390552947234958960/image.jpg,,Budvases Arrangement ,Short Arrangement,9.0
"Peach , Blush , Blush pink , Sage green , Sage","Butterfly ranunculus, garden roses, spray roses, greenery elements, touches of coral peonies",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695923041922x672523341827723400/image.jpg,,Bright Bridal Bouquet Classic Shape ,Bridal Bouquet,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695923775952x471927613274928600/image.jpg,,,,0.0
"White , White , Green , Pale green , Natural Green",Greenery around the entrance to the tent with clusters of flowers white and colors bottom 4 pieces to create the walkway to the tent ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695923822470x524381184105245500/image.jpg,,Entrance To The Tent ,Elevated,0.0
,"Greenery decor for the pole 10 ft heigh. 4 poles total 
",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695923920833x392927342193623040/image.jpg,,Greenery Around The Poles In A Tent ,Elevated,0.0
"White , White , Ivory",Wooden Chuppah Structure with floral design on both sides ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695925455988x123182200059331460/image.jpg,,Asymmetrical Design Chuppah ,Arch,1.0
"Pink peach , Pale Pink , Coral ",Fresh fruits cuts and whole to add to all the tables ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695926603534x658012422021202300/image.jpg,,Fruits ,Short Arrangement,0.0
"White , Peach , Cream , Peach , Green",Flowers and greenery creating a floral drapes on the floor ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695937472622x809062938739542000/image.jpg,,Floral  U Shape Arch With A Floral Drape ,Arch,2.0
"White , White",White peonies Bouquet  ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1695960374960x731326922154140000/image.jpg,,White Peonies Bridal ,Bridal Bouquet,8.0
"White , Ivory , Ivory , Blush , Blush ","Peach ranunculus, garden roses, touches of delphinium, butterfly ranunculus, spray roses",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696180272619x358906190250748400/image.jpg,,Bright And Colorful Swag For The Arch ,Arch,0.0
"White , White , Ivory","White flowers with white sweet peas, white roses, white spray roses, snap dragons, white scabiosa, touches of greenery, campanula. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696367265129x689299452193532000/image.jpg,,No Vase Flower Centerpieces ,Short Arrangement,7.0
"White , White",Roses and babies breath bridal bouquet ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696436397271x533470457546184600/image.jpg,,Roses And Babies Breath ,Bridal Bouquet,2.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696645995303x484986100264746600/image.jpg,,,,0.0
"White , White , Blush pink , Blush , Natural Green , Green","CHAMPAGNE ROSES, touches of blush, bright greenery: including mint and darker greenery outside",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696775380803x483567631727893440/image.jpg,,IVORY,Bridal Bouquet,0.0
"Ivory , White , Blush  , Blush , Pale green , Green",White floral centerpieces with touches of greenery and touches of blush with tall rectangular black stand. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696775854040x421116206760515000/image.jpg,,White Floral ,Tall Arrangement,5.0
"White , White , Ivory",Champagne roses bouquet ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696884043463x758190930949269400/image.jpg,,Bridal Bouquet ,Bridal Bouquet,1.0
"Ivory , White , beige",Champagne roses bouquet (smaller version of bridal bouquet) ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696884117417x536664215430563200/image.jpg,,Champagne Roses Bouquet ,Bridesmaids Bouquet,0.0
"White , White",Clear terrarium candle holders. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1696886427895x127529718227271000/image.jpg,,Clear Balls With Candle For Hanging Flowers ,Short Arrangement,0.0
,"3 peonies bouquet, stems wrapped in silk ribbon ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1697469963147x129941043291750050/image.jpg,,3 Peonies Bouquet ,Bridesmaids Bouquet,1.0
"White , White","White ranunculus, white roses, white hydrangeas, white spray roses, white scabiosa,  white peony",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1697478712901x520322464319064500/image.jpg,,White Flowers Arrangement ,Short Arrangement,6.0
"White , White",White chiffon,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1697495109567x465515105533567100/image.jpg,,Chiffon Decor For Church Pews ,Aisle Chairs,0.0
,"Bridal bouquet in peach, cream, touches of lavender, with blush flowers- garden roses, ranunculus, cosmo, spray roses, ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1697597242995x468094178456349700/image.jpg,,Spring Sensation Bridal ,Bridal Bouquet,2.0
"White , Green , Pale green , Lavender , Blush","Arch provided  by client. Greenery with cream  flowers, lavender roses,  blush roses, spray roses, 
20 ft wide only top. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1697597753082x370826216243217860/image.jpg,,Wedding Arch Flowers,Arch,2.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698111317870x458426302490529300/image.jpg,,,,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698111367226x538695927426572800/image.jpg,,,,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698111472621x552405074572110700/image.jpg,,,,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698111580638x507354256782447000/image.jpg,,,,0.0
"White , Ivory , Champagne , Blush pink , Baby pink , Green , Natural Green",.Arch arrangements one corner with flowers and greenery,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698111711088x814116670796526800/image.jpg,,Joyful Sound,Arch,1.0
"White , Ivory , Oatmeal , Cream , Peach","Dahlias, ranunculus, spray roses, delphinium, white cosmos, garden roses, butterfly ranunculus. ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698116219286x267856403548058620/image.jpg,,Garden Vibe ,Bridal Bouquet,0.0
"White , White , Cream , Blush , Blush pink , Natural Green",Pink flowers with cream roses cascading bridal bouquet with touches of green.,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698210928995x920822342871854700/image.jpg,,Pink And Cream Cascading ,Bridal Bouquet,0.0
"Blush , Cream , Ivory","U shape arch with florals and greenery covered fully with roses, orchids, dendrobium orchids, spray roses. 
",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698258359248x603793208212144400/image.jpg,,U Shape Arch Covered In Flowers,Arch,2.0
"White , White",4 tapered candles with touch of flowers and greenery and 3 votive candles ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698271133001x856832167535405600/image.jpg,,Candles With Flowers ,Short Arrangement,0.0
"White , White , Natural Green",    Aisle florals on both sides of an aisle -  2 on both sides.,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698289669008x826300511668868500/image.jpg,,Entrance Florals ,Aisle,1.0
"White , White , Green",   White flowers with greenery drape over the gazebo. ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698289880543x459824453997646140/image.jpg,,White Florals And Greenery For Wedding Gazebo (structure Is Provided) ,Arch,0.0
"White , White",Tall flower bridge for 16 ft rectangular table with florals and greenery on top ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698290727921x767392600647630600/image.jpg,,Floral Bridge For 16 Ft Table ,Tall Arrangement,0.0
,,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698291342909x758920214708911600/image.jpg,,,,0.0
"White , White",Florals to cover 5 ft on top of the champagne wall ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698291463902x462717624608020200/image.jpg,,Flowers For The Top Part Of Champagne Wall ,Arch,0.0
,Black Lantern for the aisle with small flower detail ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698291785261x727829530154849400/image.jpg,,Lantern For The Aisle ,Aisle,0.0
"Champagne , Cream , Peach , Blush pink , Soft Yellow , Apricot",roses  and ranunculus and some Ivory flowers,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698441721195x636849948368984700/image.jpg,,Bud Vases  for Dining  table,Short Arrangement,2.0
"White , White , Dusty Blue","Cream roses, ranunculus, peonies, with touches of blue tweedia, blue delphinium, cream peonies, touches of greenery ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698444508949x633695359840028800/image.jpg,,Cream Bouquet With Touches Of Blue ,Bridal Bouquet,5.0
"White , White , Light Dusty blue , Dusty Blue  , Light blue","Ombre waterfall arch 2 pieces not connected with hydrangeas, blue delphinium, blue tweedia, roses, spray roses, ranunculus, boho elements ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698445202271x739906681042228600/image.jpg,,Floral Arch With Ombre Effect,Arch,1.0
"White , White",frosted pillar candles 6 inches tall ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698445731946x135801847040656340/image.jpg,,Frosted Glass Pillar Candles,Short Arrangement,0.0
"White , Ivory , Blush , Green",Florals for teh bottom of the table and top part touches of greenery and flowers garland ,,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698449963911x403001025548344060/image.jpg,,Greenery With Florals For Sweetheart Table ,Sweetheart Table,33.0
"White , Ivory , Ivory , Oatmeal , Pale green , Green , Natural Green , Emerald green , White","Itallian Ruscus, Smilax Greenery, Florals with roses, ranunculus, touches of orchids ",,a589c9704d0f6b8886c6fd3bd3aed613.cdn.bubble.io/f1698508229727x452011864979511300/image.jpg,,Fkoral Garland With Greenery And Florals For The Sweetheart Backdrop ,Arch,0.0
