Colors,Description,Flowers,Image,Misc items,Name,type_id,Used,
"Fuchsia , Blush , Coral , Ivory , White , Navy Blue","A perfect brightness bunch with white anemone, coral peonies, blush peonies, rice flowers, astilbe, berries, garden roses ","Garden Juliet Peach Rose , White Anemone , Blush peonies  , Coral Peonies  , Blue Thistle  , Hypericum Pink Berries  , Hot Lady , White Astilbe ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631051359815x607155330088792400.png,,Brightness,Bridal Bouquet,0,
"Ivory , Blush","Classic Blush with Peach touches bridal bouquet with a mix of flowers Dave Austin Roses, Ranunculus, garden roses, spray roses.","Garden Juliet Peach Rose , White Ranunculus , Blush Bombastic Spray  , Vendela Roses  , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631051385455x340967719760436600.png,,Classic round blush with peach,Bridal Bouquet,0,
"White , Ivory , Blush","White Bouquet with a mix of roses, peonies, garden roses with touches of greenery ","White Peonies , Dave Austin White Garden Rose , Majolica Spray Roses  , Vendela Roses  , Eucalyptus Gunii ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631051396800x146823044246359170.png,,White Bridal Bouquet with Peonies ,Bridal Bouquet,5,
"Lavender  , Sage , Blush , Grey",this bridal bouquet will be a perfect match for lavender/blush/grey wedding theme ,"Blush peonies  , Sweet Escimo , Majolica Pink Spray , Blush Ranunculus  , Dusty Miller ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631051406365x282140067043277900.png,,Round tenderness ,Bridal Bouquet,0,
"Blush , White , Ivory",Round bouquet with no greenery. ,"Queen of Sweden  , Dave Austin White Garden Rose , White Ranunculus , White Astilbe  , Pink Mondial  , Majolica Pink Spray , White Astilbe  , White Peonies , White Ranunculus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631051427562x431065927326236740.png,,Classic Elegant Bridal ,Bridal Bouquet,0,
"White , Dusty Blue  , Sage",Airy and light bridal bouquet ,"White Ranunculus , White Anemone , White Astilbe  , Silver dollar  , Vendela Roses  , White Scabiosa  , Dusty Miller ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631595765516x207336948951019070.png,,White and blue Bouquet ,Bridal Bouquet,2,
"White , Sage",2 Centerpices on the wooden arch ,"Eucalyptus Gunii  , Silver dollar  , Blue Thistle  , White Bombastic , Vendela Roses  , White Scabiosa  , White Anemone",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631598734704x166948010863189800.png,Wooden Rectangular Arch,Whoite and greenery arch ,Arch,5,
"Ivory , White , Sage",Silver dollar with white rose,"Silver dollar  , Vendela Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631599088037x468766732923050940.png,,Greenery and flowers stem aisle chair,Aisle,4,
"White , Sage , deep green",Mix of Italian ruscus with silver dollar with white spray roses ,"Silver dollar  , Itallian Ruscus  , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631634838805x672098196857427600.png,,8 Ft Greenery Garland Mix Of Bright And Sage Greenery Garland ,Garland,19,
"Sage , Blush , White",8 ft greenery garland with eucalyptus sage greenery with white and blush flowers ,"Silver dollar  , Majolica Pink Spray , Vendela Roses  , Seeded Eucalyptus",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631635174315x154316925243665340.png,,8 ft eucalyptus garland with flowers ,Garland,13,
"deep green , Ivory , Sage",30 Ft garlands with touches of flowers and made with eucalyptus leaves ,"Silver dollar  , Vendela Roses  , Majolica Spray Roses ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631636649357x710963773229544400.png,,30 ft Greenery garland for the arch ,Garland,0,
"Sage , White , Pale green , Sage green , Dark green , Green",10 Eucalyptus Garland with greenery only,Silver dollar ,https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631636870447x776964937852622000.jpeg,,10 ft eucalyptus garland without flowers,Garland,0,
Sage,silver dollar mix with seeded eucalyptus ,"Seeded Eucalyptus , Silver dollar ",https://s3.us-east-2.amazonaws.com/wpro.ai/uploads/f1631637027880x415841970664126340.jpeg,,Bar Greenery garland 10 ft long ,Garland,2,
